Date,Day,Meal_Time,Food_Item,Category,Students_Count,Quantity_Prepared,Quantity_Sold,Food_Waste,Price,Weather,Special_Event,Rating
2025-11-24,Monday,Breakfast,Veg Sandwich,Snacks,529,144,115,29,40,Cloudy,Yes,3.2
2025-10-07,Tuesday,Breakfast,Idli,Breakfast,366,112,53,59,35,Sunny,Yes,4.0
2025-01-14,Tuesday,Evening,Masala Dosa,Meals,516,142,108,34,60,Rainy,No,3.6
2025-01-04,Saturday,Breakfast,Tea,Drinks,324,107,56,51,15,Cloudy,Yes,3.7
2025-02-17,Monday,Lunch,Samosa,Snacks,333,132,93,39,20,Cloudy,No,3.9
2025-03-05,Wednesday,Lunch,Samosa,Snacks,432,149,124,25,20,Cloudy,No,3.1
2025-12-05,Friday,Breakfast,Veg Thali,Meals,190,86,26,60,90,Sunny,Yes,4.3
2025-07-06,Sunday,Breakfast,Pav Bhaji,Meals,331,121,73,48,70,Sunny,No,4.3
2025-11-08,Saturday,Evening,Vada Pav,Snacks,423,123,73,50,25,Rainy,Yes,3.5
2025-11-24,Monday,Evening,Cold Drink,Drinks,262,109,58,51,30,Rainy,No,3.1
2025-01-17,Friday,Lunch,Tea,Drinks,287,123,76,47,15,Sunny,Yes,4.8
2025-06-11,Wednesday,Breakfast,Coffee,Drinks,352,110,50,60,25,Rainy,No,3.5
2025-10-15,Wednesday,Evening,Veg Thali,Meals,532,172,169,3,90,Rainy,No,3.7
2025-03-12,Wednesday,Evening,Coffee,Drinks,196,84,19,65,25,Sunny,Yes,4.6
2025-08-05,Tuesday,Evening,Samosa,Snacks,347,120,70,50,20,Cloudy,No,4.7
2025-01-06,Monday,Evening,Samosa,Snacks,499,159,139,20,20,Rainy,No,3.2
2025-08-11,Monday,Breakfast,Coffee,Drinks,151,85,31,54,25,Rainy,No,3.4
2025-02-24,Monday,Evening,Veg Thali,Meals,580,150,128,22,90,Rainy,Yes,3.3
2025-09-29,Monday,Breakfast,Idli,Breakfast,315,103,44,59,35,Cloudy,Yes,4.8
2025-06-07,Saturday,Breakfast,Veg Sandwich,Snacks,273,96,37,59,40,Rainy,Yes,4.6
2025-09-30,Tuesday,Breakfast,Vada Pav,Snacks,487,138,106,32,25,Cloudy,Yes,4.2
2025-04-19,Saturday,Evening,Masala Dosa,Meals,515,172,172,0,60,Cloudy,No,3.7
2025-09-22,Monday,Lunch,Samosa,Snacks,276,108,54,54,20,Sunny,Yes,4.1
2025-10-29,Wednesday,Breakfast,Veg Sandwich,Snacks,186,83,17,66,40,Rainy,Yes,4.7
2025-02-06,Thursday,Evening,Masala Dosa,Meals,292,102,39,63,60,Rainy,No,4.4
2025-10-20,Monday,Evening,Coffee,Drinks,274,98,33,65,25,Cloudy,No,4.3
2025-07-01,Tuesday,Lunch,Tea,Drinks,389,142,110,32,15,Rainy,Yes,3.2
2025-07-26,Saturday,Evening,Pav Bhaji,Meals,559,148,120,28,70,Sunny,Yes,3.9
2025-08-05,Tuesday,Breakfast,Veg Thali,Meals,386,125,83,42,90,Sunny,Yes,4.7
2025-02-20,Thursday,Breakfast,Cold Drink,Drinks,578,184,184,0,30,Sunny,Yes,3.5
2025-07-28,Monday,Lunch,Coffee,Drinks,259,101,36,65,25,Cloudy,Yes,5.0
2025-05-16,Friday,Lunch,Veg Thali,Meals,366,122,70,52,90,Rainy,No,3.4
2025-01-30,Thursday,Evening,Cold Drink,Drinks,181,80,23,57,30,Rainy,No,4.0
2025-09-29,Monday,Breakfast,Veg Sandwich,Snacks,410,118,60,58,40,Sunny,Yes,4.4
2025-05-01,Thursday,Lunch,Samosa,Snacks,441,153,127,26,20,Sunny,Yes,4.3
2025-10-17,Friday,Evening,Pav Bhaji,Meals,283,101,42,59,70,Sunny,No,3.3
2025-11-27,Thursday,Lunch,Coffee,Drinks,311,119,69,50,25,Sunny,Yes,5.0
2025-02-07,Friday,Evening,Masala Dosa,Meals,409,145,106,39,60,Cloudy,Yes,4.8
2025-07-09,Wednesday,Lunch,Vada Pav,Snacks,374,137,102,35,25,Rainy,No,4.3
2025-01-05,Sunday,Evening,Cold Drink,Drinks,303,120,64,56,30,Rainy,Yes,3.5
2025-02-24,Monday,Evening,Cold Drink,Drinks,229,97,42,55,30,Cloudy,No,3.7
2025-12-18,Thursday,Evening,Veg Thali,Meals,408,144,116,28,90,Cloudy,No,3.1
2025-11-21,Friday,Lunch,Veg Thali,Meals,172,92,36,56,90,Sunny,No,5.0
2025-03-24,Monday,Evening,Coffee,Drinks,432,138,93,45,25,Rainy,No,3.2
2025-12-20,Saturday,Breakfast,Cold Drink,Drinks,168,82,16,66,30,Cloudy,Yes,3.6
2025-01-21,Tuesday,Lunch,Masala Dosa,Meals,499,156,136,20,60,Sunny,Yes,4.8
2025-07-28,Monday,Evening,Vada Pav,Snacks,271,111,50,61,25,Sunny,Yes,3.4
2025-06-20,Friday,Lunch,Masala Dosa,Meals,286,111,49,62,60,Sunny,Yes,4.7
2025-04-24,Thursday,Breakfast,Coffee,Drinks,329,108,55,53,25,Cloudy,Yes,3.4
2025-06-18,Wednesday,Lunch,Samosa,Snacks,545,178,175,3,20,Cloudy,No,4.4
2025-10-02,Thursday,Lunch,Veg Sandwich,Snacks,209,98,36,62,40,Cloudy,Yes,3.1
2025-11-02,Sunday,Lunch,Pav Bhaji,Meals,523,171,169,2,70,Cloudy,No,3.2
2025-10-23,Thursday,Breakfast,Veg Thali,Meals,172,77,24,53,90,Rainy,No,4.1
2025-12-10,Wednesday,Breakfast,Pav Bhaji,Meals,370,127,83,44,70,Sunny,No,4.7
2025-06-03,Tuesday,Evening,Veg Thali,Meals,491,144,107,37,90,Cloudy,No,4.1
2025-04-09,Wednesday,Lunch,Tea,Drinks,496,165,151,14,15,Rainy,Yes,3.8
2025-01-01,Wednesday,Lunch,Veg Thali,Meals,257,107,50,57,90,Cloudy,No,4.4
2025-09-19,Friday,Lunch,Vada Pav,Snacks,487,160,145,15,25,Sunny,No,4.2
2025-02-17,Monday,Breakfast,Veg Thali,Meals,265,93,30,63,90,Sunny,Yes,5.0
2025-11-09,Sunday,Breakfast,Coffee,Drinks,362,128,81,47,25,Rainy,Yes,4.0
2025-05-05,Monday,Breakfast,Veg Sandwich,Snacks,534,145,117,28,40,Sunny,No,4.9
2025-09-23,Tuesday,Lunch,Veg Sandwich,Snacks,435,146,119,27,40,Sunny,Yes,3.9
2025-09-29,Monday,Evening,Idli,Breakfast,312,120,70,50,35,Cloudy,No,3.9
2025-03-23,Sunday,Evening,Coffee,Drinks,380,135,91,44,25,Cloudy,Yes,4.5
2025-09-24,Wednesday,Lunch,Masala Dosa,Meals,290,119,64,55,60,Cloudy,Yes,3.5
2025-06-13,Friday,Evening,Samosa,Snacks,220,92,27,65,20,Sunny,Yes,4.4
2025-02-02,Sunday,Lunch,Tea,Drinks,319,119,64,55,15,Rainy,No,4.7
2025-07-19,Saturday,Evening,Veg Sandwich,Snacks,588,166,154,12,40,Rainy,No,3.6
2025-07-19,Saturday,Lunch,Cold Drink,Drinks,532,169,160,9,30,Rainy,Yes,3.9
2025-01-15,Wednesday,Lunch,Pav Bhaji,Meals,492,168,167,1,70,Rainy,No,3.9
2025-03-07,Friday,Evening,Cold Drink,Drinks,163,77,17,60,30,Cloudy,Yes,3.3
2025-08-25,Monday,Breakfast,Veg Sandwich,Snacks,283,100,40,60,40,Cloudy,No,3.7
2025-07-14,Monday,Lunch,Tea,Drinks,279,102,46,56,15,Sunny,No,3.1
2025-06-29,Sunday,Breakfast,Samosa,Snacks,549,170,161,9,20,Rainy,Yes,3.4
2025-01-11,Saturday,Evening,Vada Pav,Snacks,272,107,53,54,25,Sunny,No,4.9
2025-08-27,Wednesday,Evening,Veg Thali,Meals,542,162,152,10,90,Cloudy,Yes,4.4
