Transaction_ID,Food_Item
1,Samosa
1,Tea
2,Masala Dosa
2,Tea
2,Cold Drink
3,Samosa
3,Tea
4,Masala Dosa
4,Tea
5,Cold Drink
6,Tea
7,Idli
7,Tea
8,Vada Pav
9,Vada Pav
9,Cold Drink
10,Samosa
10,Tea
10,Pav Bhaji
11,Idli
11,Tea
11,Coffee
12,Cold Drink
12,Tea
13,Samosa
13,Tea
14,Idli
15,Masala Dosa
16,Veg Thali
17,Masala Dosa
18,Coffee
19,Pav Bhaji
19,Cold Drink
20,Veg Thali
21,Samosa
21,Tea
21,Masala Dosa
22,Vada Pav
22,Cold Drink
23,Cold Drink
24,Pav Bhaji
25,Masala Dosa
26,Tea
27,Masala Dosa
28,Pav Bhaji
28,Cold Drink
29,Coffee
29,Vada Pav
30,Masala Dosa
31,Idli
31,Tea
32,Pav Bhaji
32,Cold Drink
33,Cold Drink
34,Veg Sandwich
34,Vada Pav
35,Tea
36,Tea
37,Coffee
38,Cold Drink
39,Veg Sandwich
39,Cold Drink
40,Veg Thali
41,Pav Bhaji
41,Cold Drink
42,Coffee
42,Veg Thali
43,Cold Drink
44,Cold Drink
45,Veg Thali
46,Cold Drink
47,Vada Pav
47,Cold Drink
48,Veg Sandwich
48,Cold Drink
49,Samosa
50,Veg Thali
51,Masala Dosa
52,Samosa
53,Cold Drink
54,Vada Pav
55,Vada Pav
55,Cold Drink
56,Tea
57,Cold Drink
58,Masala Dosa
59,Pav Bhaji
59,Cold Drink
60,Samosa
60,Tea
60,Veg Sandwich
61,Idli
61,Tea
62,Veg Sandwich
62,Cold Drink
63,Masala Dosa
63,Tea
63,Pav Bhaji
64,Samosa
64,Tea
65,Coffee
66,Vada Pav
67,Idli
67,Tea
68,Tea
68,Samosa
69,Tea
70,Tea
71,Veg Sandwich
72,Samosa
72,Tea
73,Samosa
73,Tea
73,Coffee
74,Vada Pav
74,Cold Drink
75,Masala Dosa
75,Cold Drink
76,Samosa
76,Tea
77,Veg Sandwich
78,Masala Dosa
78,Tea
79,Masala Dosa
80,Vada Pav
80,Cold Drink
81,Veg Thali
82,Coffee
83,Cold Drink
84,Coffee
84,Veg Thali
85,Masala Dosa
86,Cold Drink
86,Pav Bhaji
87,Veg Sandwich
87,Cold Drink
88,Cold Drink
89,Samosa
90,Masala Dosa
90,Tea
91,Idli
91,Tea
92,Idli
92,Tea
93,Idli
93,Tea
94,Masala Dosa
95,Veg Thali
96,Veg Thali
97,Samosa
97,Tea
98,Idli
98,Masala Dosa
99,Cold Drink
100,Pav Bhaji
101,Pav Bhaji
101,Cold Drink
102,Cold Drink
103,Idli
104,Cold Drink
105,Veg Thali
106,Samosa
107,Samosa
107,Veg Thali
108,Idli
108,Tea
109,Veg Thali
110,Veg Thali
111,Veg Sandwich
111,Cold Drink
112,Veg Thali
112,Pav Bhaji
113,Vada Pav
114,Coffee
115,Tea
116,Samosa
116,Tea
117,Vada Pav
117,Cold Drink
118,Idli
118,Tea
119,Veg Sandwich
119,Cold Drink
120,Veg Sandwich
121,Masala Dosa
122,Cold Drink
123,Tea
124,Vada Pav
125,Vada Pav
126,Tea
126,Pav Bhaji
127,Tea
128,Masala Dosa
128,Tea
129,Samosa
129,Tea
129,Coffee
130,Masala Dosa
130,Tea
131,Pav Bhaji
131,Cold Drink
132,Masala Dosa
132,Tea
133,Tea
134,Samosa
135,Cold Drink
136,Cold Drink
137,Veg Sandwich
137,Cold Drink
138,Vada Pav
138,Cold Drink
139,Veg Sandwich
139,Cold Drink
140,Pav Bhaji
140,Cold Drink
141,Samosa
141,Tea
142,Veg Thali
142,Tea
143,Veg Sandwich
143,Cold Drink
144,Masala Dosa
144,Tea
144,Pav Bhaji
145,Idli
145,Tea
146,Veg Thali
147,Tea
148,Veg Thali
149,Masala Dosa
149,Tea
150,Vada Pav
151,Cold Drink
152,Veg Thali
153,Tea
154,Idli
155,Coffee
156,Cold Drink
157,Vada Pav
158,Idli
158,Tea
159,Masala Dosa
160,Masala Dosa
160,Tea
160,Coffee
161,Idli
161,Tea
162,Idli
162,Tea
163,Coffee
164,Vada Pav
164,Samosa
165,Tea
166,Cold Drink
167,Cold Drink
168,Samosa
168,Tea
169,Cold Drink
170,Idli
170,Tea
171,Coffee
172,Cold Drink
173,Cold Drink
174,Vada Pav
175,Veg Thali
176,Veg Thali
177,Cold Drink
178,Masala Dosa
178,Tea
178,Veg Thali
179,Masala Dosa
179,Tea
180,Cold Drink
180,Vada Pav
181,Masala Dosa
181,Tea
182,Samosa
182,Tea
183,Coffee
184,Masala Dosa
185,Idli
186,Tea
187,Pav Bhaji
187,Cold Drink
188,Tea
189,Cold Drink
190,Masala Dosa
190,Tea
191,Coffee
191,Pav Bhaji
192,Tea
193,Coffee
194,Idli
194,Tea
195,Idli
195,Tea
196,Vada Pav
196,Veg Thali
197,Tea
198,Coffee
199,Tea
200,Tea
201,Samosa
201,Tea
202,Veg Sandwich
203,Samosa
204,Veg Sandwich
205,Idli
205,Tea
205,Samosa
206,Idli
207,Veg Thali
208,Vada Pav
209,Samosa
209,Veg Thali
210,Samosa
210,Tea
211,Idli
212,Tea
213,Masala Dosa
213,Tea
214,Masala Dosa
214,Tea
215,Idli
216,Idli
217,Tea
218,Samosa
218,Tea
219,Tea
220,Samosa
220,Tea
221,Coffee
222,Tea
222,Cold Drink
223,Veg Thali
224,Cold Drink
225,Coffee
226,Idli
226,Tea
227,Samosa
227,Tea
228,Coffee
229,Tea
230,Coffee
231,Vada Pav
231,Cold Drink
232,Veg Thali
233,Idli
234,Veg Sandwich
234,Cold Drink
234,Masala Dosa
235,Tea
236,Masala Dosa
237,Coffee
238,Veg Sandwich
238,Cold Drink
239,Masala Dosa
239,Tea
240,Coffee
241,Pav Bhaji
241,Cold Drink
242,Pav Bhaji
242,Cold Drink
243,Veg Thali
244,Samosa
245,Cold Drink
246,Vada Pav
246,Cold Drink
247,Veg Thali
248,Cold Drink
249,Samosa
250,Pav Bhaji
250,Cold Drink
251,Vada Pav
251,Cold Drink
252,Cold Drink
253,Vada Pav
254,Samosa
255,Coffee
256,Pav Bhaji
256,Cold Drink
256,Coffee
257,Samosa
258,Samosa
258,Tea
259,Vada Pav
259,Cold Drink
260,Veg Thali
260,Masala Dosa
261,Samosa
261,Tea
262,Idli
263,Cold Drink
264,Coffee
265,Idli
266,Idli
266,Tea
267,Samosa
268,Masala Dosa
268,Tea
269,Vada Pav
269,Cold Drink
269,Tea
270,Coffee
271,Coffee
272,Masala Dosa
272,Tea
273,Coffee
273,Masala Dosa
274,Veg Thali
275,Idli
276,Tea
276,Masala Dosa
277,Vada Pav
278,Samosa
278,Tea
279,Idli
280,Veg Thali
281,Coffee
282,Tea
283,Cold Drink
284,Coffee
284,Veg Sandwich
285,Tea
286,Idli
286,Tea
287,Idli
288,Veg Thali
289,Vada Pav
289,Cold Drink
290,Veg Thali
290,Idli
291,Tea
292,Coffee
293,Coffee
294,Pav Bhaji
294,Cold Drink
294,Vada Pav
295,Pav Bhaji
295,Cold Drink
296,Tea
297,Cold Drink
297,Samosa
298,Pav Bhaji
298,Cold Drink
298,Tea
299,Cold Drink
300,Veg Sandwich
301,Tea
301,Cold Drink
302,Pav Bhaji
303,Coffee
304,Masala Dosa
304,Tea
304,Veg Thali
305,Coffee
306,Coffee
306,Idli
307,Masala Dosa
308,Veg Sandwich
308,Cold Drink
308,Samosa
309,Coffee
310,Vada Pav
310,Cold Drink
311,Cold Drink
312,Tea
313,Coffee
