Date,Day,Week,Month,Year,Date_ID
2025-11-24,Monday,48,11,2025,1
2025-10-07,Tuesday,41,10,2025,2
2025-01-14,Tuesday,3,1,2025,3
2025-01-04,Saturday,1,1,2025,4
2025-02-17,Monday,8,2,2025,5
2025-03-05,Wednesday,10,3,2025,6
2025-12-05,Friday,49,12,2025,7
2025-07-06,Sunday,27,7,2025,8
2025-11-08,Saturday,45,11,2025,9
2025-01-17,Friday,3,1,2025,10
2025-06-11,Wednesday,24,6,2025,11
2025-10-15,Wednesday,42,10,2025,12
2025-03-12,Wednesday,11,3,2025,13
2025-08-05,Tuesday,32,8,2025,14
2025-01-06,Monday,2,1,2025,15
2025-08-11,Monday,33,8,2025,16
2025-02-24,Monday,9,2,2025,17
2025-09-29,Monday,40,9,2025,18
2025-06-07,Saturday,23,6,2025,19
2025-09-30,Tuesday,40,9,2025,20
2025-04-19,Saturday,16,4,2025,21
2025-09-22,Monday,39,9,2025,22
2025-10-29,Wednesday,44,10,2025,23
2025-02-06,Thursday,6,2,2025,24
2025-10-20,Monday,43,10,2025,25
2025-07-01,Tuesday,27,7,2025,26
2025-07-26,Saturday,30,7,2025,27
2025-02-20,Thursday,8,2,2025,28
2025-07-28,Monday,31,7,2025,29
2025-05-16,Friday,20,5,2025,30
2025-01-30,Thursday,5,1,2025,31
2025-05-01,Thursday,18,5,2025,32
2025-10-17,Friday,42,10,2025,33
2025-11-27,Thursday,48,11,2025,34
2025-02-07,Friday,6,2,2025,35
2025-07-09,Wednesday,28,7,2025,36
2025-01-05,Sunday,1,1,2025,37
2025-12-18,Thursday,51,12,2025,38
2025-11-21,Friday,47,11,2025,39
2025-03-24,Monday,13,3,2025,40
2025-12-20,Saturday,51,12,2025,41
2025-01-21,Tuesday,4,1,2025,42
2025-06-20,Friday,25,6,2025,43
2025-04-24,Thursday,17,4,2025,44
2025-06-18,Wednesday,25,6,2025,45
2025-10-02,Thursday,40,10,2025,46
2025-11-02,Sunday,44,11,2025,47
2025-10-23,Thursday,43,10,2025,48
2025-12-10,Wednesday,50,12,2025,49
2025-06-03,Tuesday,23,6,2025,50
2025-04-09,Wednesday,15,4,2025,51
2025-01-01,Wednesday,1,1,2025,52
2025-09-19,Friday,38,9,2025,53
2025-11-09,Sunday,45,11,2025,54
2025-05-05,Monday,19,5,2025,55
2025-09-23,Tuesday,39,9,2025,56
2025-03-23,Sunday,12,3,2025,57
2025-09-24,Wednesday,39,9,2025,58
2025-06-13,Friday,24,6,2025,59
2025-02-02,Sunday,5,2,2025,60
2025-07-19,Saturday,29,7,2025,61
2025-01-15,Wednesday,3,1,2025,62
2025-03-07,Friday,10,3,2025,63
2025-08-25,Monday,35,8,2025,64
2025-07-14,Monday,29,7,2025,65
2025-06-29,Sunday,26,6,2025,66
2025-01-11,Saturday,2,1,2025,67
2025-08-27,Wednesday,35,8,2025,68
2025-03-25,Tuesday,13,3,2025,69
2025-04-12,Saturday,15,4,2025,70
2025-12-17,Wednesday,51,12,2025,71
2025-02-05,Wednesday,6,2,2025,72
2025-08-24,Sunday,34,8,2025,73
2025-08-19,Tuesday,34,8,2025,74
2025-04-04,Friday,14,4,2025,75
2025-05-22,Thursday,21,5,2025,76
2025-05-04,Sunday,18,5,2025,77
2025-10-09,Thursday,41,10,2025,78
2025-01-08,Wednesday,2,1,2025,79
2025-03-06,Thursday,10,3,2025,80
2025-01-27,Monday,5,1,2025,81
2025-01-28,Tuesday,5,1,2025,82
2025-08-02,Saturday,31,8,2025,83
2025-08-15,Friday,33,8,2025,84
2025-04-17,Thursday,16,4,2025,85
2025-03-22,Saturday,12,3,2025,86
2025-05-25,Sunday,21,5,2025,87
2025-12-25,Thursday,52,12,2025,88
2025-08-10,Sunday,32,8,2025,89
2025-10-22,Wednesday,43,10,2025,90
2025-08-29,Friday,35,8,2025,91
2025-09-11,Thursday,37,9,2025,92
