Students_Count,Quantity_Prepared,Quantity_Sold,Food_Waste,Rating,Fact_ID,Food_ID,Weather_ID,Meal_ID,Date_ID,Revenue
529,144,115,29,3.2,1,1,1,1,1,4600
366,112,53,59,4.0,2,2,2,1,2,1855
516,142,108,34,3.6,3,3,3,2,3,6480
324,107,56,51,3.7,4,4,1,1,4,840
333,132,93,39,3.9,5,5,4,3,5,1860
432,149,124,25,3.1,6,5,4,3,6,2480
190,86,26,60,4.3,7,6,2,1,7,2340
331,121,73,48,4.3,8,7,5,1,8,5110
423,123,73,50,3.5,9,8,6,2,9,1825
262,109,58,51,3.1,10,9,3,2,1,1740
287,123,76,47,4.8,11,4,2,3,10,1140
352,110,50,60,3.5,12,10,3,1,11,1250
532,172,169,3,3.7,13,6,3,2,12,15210
196,84,19,65,4.6,14,10,2,2,13,475
347,120,70,50,4.7,15,5,4,2,14,1400
499,159,139,20,3.2,16,5,3,2,15,2780
151,85,31,54,3.4,17,10,3,1,16,775
580,150,128,22,3.3,18,6,6,2,17,11520
315,103,44,59,4.8,19,2,1,1,18,1540
273,96,37,59,4.6,20,1,6,1,19,1480
487,138,106,32,4.2,21,8,1,1,20,2650
515,172,172,0,3.7,22,3,4,2,21,10320
276,108,54,54,4.1,23,5,2,3,22,1080
186,83,17,66,4.7,24,1,6,1,23,680
292,102,39,63,4.4,25,3,3,2,24,2340
274,98,33,65,4.3,26,10,4,2,25,825
389,142,110,32,3.2,27,4,6,3,26,1650
559,148,120,28,3.9,28,7,2,2,27,8400
386,125,83,42,4.7,29,6,2,1,14,7470
578,184,184,0,3.5,30,9,2,1,28,5520
259,101,36,65,5.0,31,10,1,3,29,900
366,122,70,52,3.4,32,6,3,3,30,6300
181,80,23,57,4.0,33,9,3,2,31,690
410,118,60,58,4.4,34,1,2,1,18,2400
441,153,127,26,4.3,35,5,2,3,32,2540
283,101,42,59,3.3,36,7,5,2,33,2940
311,119,69,50,5.0,37,10,2,3,34,1725
409,145,106,39,4.8,38,3,1,2,35,6360
374,137,102,35,4.3,39,8,3,3,36,2550
303,120,64,56,3.5,40,9,6,2,37,1920
229,97,42,55,3.7,41,9,4,2,17,1260
408,144,116,28,3.1,42,6,4,2,38,10440
172,92,36,56,5.0,43,6,5,3,39,3240
432,138,93,45,3.2,44,10,3,2,40,2325
168,82,16,66,3.6,45,9,1,1,41,480
